frame,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
119,3.0763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
120,3.1015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
121,3.1269,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
122,3.1528,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
123,3.1783,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
124,3.2035,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
125,3.2321,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
126,3.2615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
127,3.2861,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
128,3.3115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
129,3.3412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
130,3.3707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
131,3.3951,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
132,3.4206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
133,3.4455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
134,3.4741,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
135,3.4998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
136,3.5257,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
137,3.5554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
138,3.5798,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
139,3.6045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
140,3.6290,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
141,3.6535,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
142,3.6787,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
143,3.7033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
144,3.7282,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
145,3.7523,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
146,3.7773,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
147,3.8060,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
148,3.8311,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
149,3.8562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
150,3.8811,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
