frame,wall_time,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
608,1786065118.8207,12.6813,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
609,1786065118.8471,12.7077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
610,1786065118.8621,12.7227,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
611,1786065118.8861,12.7467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
612,1786065118.9058,12.7663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
613,1786065118.9274,12.7880,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
614,1786065118.9517,12.8123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
615,1786065118.9702,12.8308,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
616,1786065118.9890,12.8496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
617,1786065119.0200,12.8806,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
618,1786065119.0347,12.8953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
619,1786065119.0518,12.9124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
620,1786065119.0760,12.9366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
621,1786065119.0939,12.9545,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
622,1786065119.1158,12.9764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
623,1786065119.1352,12.9958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
624,1786065119.1591,13.0197,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
625,1786065119.1776,13.0382,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
626,1786065119.1998,13.0604,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
627,1786065119.2190,13.0796,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
628,1786065119.2367,13.0973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
629,1786065119.2642,13.1248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
630,1786065119.2844,13.1450,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
631,1786065119.3040,13.1646,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
632,1786065119.3256,13.1862,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
633,1786065119.3456,13.2062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
634,1786065119.3797,13.2403,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
635,1786065119.3900,13.2506,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
636,1786065119.4124,13.2730,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
637,1786065119.4288,13.2894,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
638,1786065119.4507,13.3113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
639,1786065119.4728,13.3334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
640,1786065119.4969,13.3575,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
641,1786065119.5189,13.3795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
642,1786065119.5431,13.4037,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
643,1786065119.5515,13.4121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
644,1786065119.5855,13.4461,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
645,1786065119.6015,13.4621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
646,1786065119.6134,13.4739,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
647,1786065119.6441,13.5047,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
648,1786065119.6638,13.5243,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
649,1786065119.6856,13.5462,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
650,1786065119.6990,13.5596,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
651,1786065119.7254,13.5860,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
652,1786065119.7429,13.6034,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
653,1786065119.7586,13.6192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
654,1786065119.7788,13.6393,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
655,1786065119.8024,13.6630,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
656,1786065119.8235,13.6841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
657,1786065119.8578,13.7184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
658,1786065119.8705,13.7311,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
659,1786065119.8822,13.7428,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
660,1786065119.9045,13.7651,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
661,1786065119.9381,13.7987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
662,1786065119.9549,13.8155,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
