wall_time,cur_time,cur_loop_dt,cur_ctrl_freq,loop_count,fc_time_boot_ms,hb_age_s,sent_mode,echoed_mode,armed,drone_px_ref,drone_py_ref,drone_pz_ref,drone_vx_ref,drone_vy_ref,drone_vz_ref,payload_px_ref,payload_py_ref,payload_pz_ref,payload_vx_ref,payload_vy_ref,payload_vz_ref,payload_alpha_x,payload_alpha_y,payload_alphadot_x,payload_alphadot_y,ux,uy,uz,yaw_ref,yaw_rate_ref,drone_px_meas,drone_py_meas,drone_pz_meas,drone_vx_meas,drone_vy_meas,drone_vz_meas,drone_ax_meas,drone_ay_meas,drone_az_meas,drone_gyrox_meas,drone_gyroy_meas,drone_gyroz_meas,drone_roll,drone_pitch,drone_yaw,drone_yaw_rate,sent_setpoint_bitmask,echoed_setpoint_bitmask,setpoint_bitmask_callback_dt,batt_voltage,batt_current,batt_rem_percent,GPS_fix_type,sat_count,HDOP,ekf_flags,ekf_pos_horiz_var,ekf_pos_vert_var,ekf_vel_var,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8
1784762377.6794,18.6401,0.01949,51.31,933,3589572,0.540,GUIDED,GUIDED,128,24.305875062942505,-0.0003966262738686055,14.68469524383545,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1308671490922461,0.00573289963658068,-0.00013442917663198102,-0.12905526161193848,0,24.20330810546875,-0.020680444315075874,14.684513092041016,0.48366087675094604,0.008400976657867432,0.00018277810886502266,1,-13,-1001,0,-2,0,0.013325417414307594,0.0011694086715579033,-0.12897415459156036,-0.0004412692505866289,63,3135,0.0193023681640625,12.312,28.76,0,6,10,1.21,831,0.003857959294691682,1.8960630768560804e-05,0.007397347129881382,1500,1500,1000,1500,1800,1000,1000,1800,1605,1604,1605,1604,0,0,0,0
1784762377.6997,18.6601,0.02032,49.22,934,3589592,0.561,GUIDED,GUIDED,128,24.315922141075134,-0.0003966262738686055,14.68469524383545,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13098507064656084,0.005695501982940892,-0.00013162217298923776,-0.12905526161193848,0,24.21326446533203,-0.020680664107203484,14.684511184692383,0.48364517092704773,0.008422695100307465,0.00018225869280286133,1,-13,-1001,-1,1,0,0.013286132365465164,0.0012010285863652825,-0.12897497415542603,-0.0004393444396555424,63,3135,0.0200502872467041,12.312,28.76,0,6,10,1.21,831,0.003857959294691682,1.8960630768560804e-05,0.007397347129881382,1500,1500,1000,1500,1800,1000,1000,1800,1605,1604,1605,1604,0,0,0,0
1784762377.7205,18.6802,0.02076,48.17,935,3589612,0.581,GUIDED,GUIDED,128,24.32596492767334,-0.0003966262738686055,14.68469524383545,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13109368337252605,0.0056600059062832525,-8.883036476008409e-05,-0.12905526161193848,0,24.22321319580078,-0.020679015666246414,14.684507369995117,0.4836367666721344,0.008442237041890621,0.00015975524729583412,1,-12,-1000,1,-1,0,0.013317826204001904,0.0011617839336395264,-0.12897086143493652,-0.0003581521741580218,63,3135,0.020560026168823242,12.312,28.76,0,6,10,1.21,831,0.003807537490502,2.3904347472125664e-05,0.007667983882129192,1500,1500,1000,1500,1800,1000,1000,1800,1605,1604,1605,1604,0,0,0,0
1784762377.7396,18.7001,0.01910,52.36,936,3589632,0.600,GUIDED,GUIDED,128,24.33587634563446,-0.0003966262738686055,14.68469524383545,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.130591870705346,0.005924165473077199,-0.0001068503961428212,-0.12905526161193848,0,24.233407974243164,-0.02082357369363308,14.684496879577637,0.4837628901004791,0.008373185060918331,0.00017621576262172312,1,-13,-1001,0,0,0,0.013292109593749046,0.0011879996163770556,-0.1289714276790619,-0.0003857748815789819,63,3135,0.018846511840820312,12.312,28.76,0,6,10,1.21,831,0.003807537490502,2.3904347472125664e-05,0.007667983882129192,1500,1500,1000,1500,1800,1000,1000,1800,1605,1604,1605,1604,0,0,0,0
1784762377.7597,18.7201,0.02008,49.80,937,3589652,0.621,GUIDED,GUIDED,128,24.345877051353455,-0.0003966262738686055,14.68469524383545,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13076913370901766,0.005812195132683062,-0.0001638049632352808,-0.12905526161193848,0,24.243324279785156,-0.02080194652080536,14.684494018554688,0.48370927572250366,0.008425344713032246,0.00021075030963402241,1,-13,-1001,0,-1,0,0.013317645527422428,0.0011414429172873497,-0.12897396087646484,-0.0004295652324799448,63,3135,0.019787073135375977,12.312,28.76,0,6,10,1.21,831,0.003807537490502,2.3904347472125664e-05,0.007667983882129192,1500,1500,1000,1500,1800,1000,1000,1800,1605,1604,1605,1604,0,0,0,0
1784762377.7798,18.7403,0.02017,49.57,938,3589672,0.641,GUIDED,GUIDED,128,24.355997920036316,-0.0003966262738686055,14.68469524383545,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13061310900238848,0.00604217938528083,-9.412454674312732e-05,-0.12905526161193848,0,24.253450393676758,-0.020907636731863022,14.68448543548584,0.4837963283061981,0.0083535835146904,0.00017547573952469975,1,-13,-1000,0,1,0,0.01332150213420391,0.0011762569192796946,-0.12897607684135437,-0.00039891671622172,63,3135,0.01993083953857422,12.312,28.76,0,6,10,1.21,831,0.003807537490502,2.3904347472125664e-05,0.007667983882129192,1500,1500,1000,1500,1800,1000,1000,1800,1605,1604,1605,1604,0,0,0,0
1784762377.7998,18.7603,0.02001,49.98,939,3589692,0.661,GUIDED,GUIDED,128,24.36599850654602,-0.0003966262738686055,14.68469524383545,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13041686639356465,0.006136881959229177,-7.712775225158421e-05,-0.12905526161193848,0,24.263540267944336,-0.020990576595067978,14.684479713439941,0.4838580787181854,0.008346792310476303,0.00016896626038942486,1,-13,-1000,0,-1,0,0.013326001353561878,0.0011400736402720213,-0.1289798468351364,-0.00042253953870385885,63,3135,0.01974654197692871,12.312,28.76,0,6,10,1.21,831,0.003807537490502,2.3904347472125664e-05,0.007667983882129192,1500,1500,1000,1500,1800,1000,1000,1800,1605,1604,1605,1604,0,0,0,0
1784762377.8197,18.7803,0.01987,50.32,940,3589712,0.681,GUIDED,GUIDED,128,24.375986337661743,-0.0003966262738686055,14.68469524383545,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1306984178675936,0.005905136369124431,-8.632819656706917e-05,-0.12905526161193848,0,24.273408889770508,-0.02093994803726673,14.684477806091309,0.4837643504142761,0.008451360277831554,0.00017537934763822705,1,-13,-1001,1,1,0,0.013347857631742954,0.0011805965332314372,-0.12897653877735138,-0.0003837532422039658,63,3135,0.01967477798461914,12.312,28.76,0,6,10,1.21,831,0.003807537490502,2.3904347472125664e-05,0.007667983882129192,1500,1500,1000,1500,1800,1000,1000,1800,1605,1604,1605,1604,0,0,0,0
1784762377.8397,18.8002,0.01999,50.03,941,3589732,0.701,GUIDED,GUIDED,128,24.38593590259552,-0.0003966262738686055,14.68469524383545,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1305878752903869,0.005931399382096242,-3.8124710285432334e-05,-0.12905526161193848,0,24.283447265625,-0.020989976823329926,14.68447208404541,0.48377689719200134,0.008465081453323364,0.00015085267659742385,1,-13,-1000,0,0,0,0.01333546917885542,0.0011494467034935951,-0.12897714972496033,-0.000494188629090786,63,3135,0.019795656204223633,12.312,28.76,0,6,10,1.21,831,0.003807537490502,2.3904347472125664e-05,0.007667983882129192,1500,1500,1000,1500,1800,1000,1000,1800,1605,1604,1605,1604,0,0,0,0
1784762377.8599,18.8204,0.02016,49.60,942,3589752,0.721,GUIDED,GUIDED,128,24.39604139328003,-0.0003966262738686055,14.68469524383545,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1310287562042441,0.005719741243118153,-6.309263894678852e-05,-0.12905526161193848,0,24.29328727722168,-0.02092195861041546,14.684471130371094,0.48367562890052795,0.008548012003302574,0.0001658185210544616,1,-13,-1001,1,0,0,0.013368198648095131,0.0011755727464333177,-0.12897680699825287,-0.00043885994818992913,63,3135,0.019934654235839844,12.312,28.76,0,6,10,1.21,831,0.003807537490502,2.3904347472125664e-05,0.007667983882129192,1500,1500,1000,1500,1800,1000,1000,1800,1605,1604,1605,1604,0,0,0,0
